Country Name,Country Code,2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,507.1033919,508.8084095
Albania,ALB,5355.847795,5215.276752
Algeria,DZA,3975.508993,3310.386534
American Samoa,ASM,11534.56754,..
Andorra,AND,40897.33087,..
Angola,AGO,2809.626088,1895.770869
Antigua and Barbuda,ATG,17113.34977,14449.99652
Argentina,ARG,9912.281809,8441.919439
Armenia,ARM,4622.738182,4267.452119
Aruba,ABW,..,..
Australia,AUS,55057.2047,51812.15404
Austria,AUT,50121.55421,48105.36462
Azerbaijan,AZE,4805.753718,4214.311336
"Bahamas, The",BHS,34863.38405,28607.90138
Bahrain,BHR,23443.43483,..
Bangladesh,BGD,1855.69151,1968.792225
Barbados,BRB,18148.49785,15191.16404
Belarus,BLR,6839.103833,6411.227813
Belgium,BEL,46414.43523,44594.37811
Belize,BLZ,5078.809944,4435.621154
Benin,BEN,1219.515479,1291.040962
Bermuda,BMU,117098.4463,..
Bhutan,BTN,3316.167022,3122.376062
Bolivia,BOL,3552.068144,3143.045494
Bosnia and Herzegovina,BIH,6120.112626,6031.556869
Botswana,BWA,7970.796968,6710.990411
Brazil,BRA,8897.48777,6796.844542
British Virgin Islands,VGB,..,..
Brunei Darussalam,BRN,31085.96189,27466.33964
Bulgaria,BGR,9828.148515,9975.780001
Burkina Faso,BFA,786.8954377,830.9251446
Burundi,BDI,261.2452912,274.0095232
Cabo Verde,CPV,3603.775241,3064.272388
Cambodia,KHM,1643.121389,1512.727753
Cameroon,CMR,1507.449798,1499.372843
Canada,CAN,46326.67264,43241.61783
Cayman Islands,CYM,91392.64259,..
Central African Republic,CAF,467.9080218,476.8511127
Chad,TCD,709.5400432,614.4651899
Channel Islands,CHI,..,..
Chile,CHL,14741.7144,13231.70421
China,CHN,10216.63033,10500.39562
Colombia,COL,6424.979492,5332.773524
Comoros,COM,1370.140123,1402.595489
"Congo, Dem. Rep.",COD,580.7168605,556.8131853
"Congo, Rep.",COG,2359.177309,1972.545246
Costa Rica,CRI,12669.70608,12076.81451
Cote d'Ivoire,CIV,2276.332394,2325.723705
Croatia,HRV,14944.35622,13828.4695
Cuba,CUB,9099.673146,..
Curacao,CUW,19701.27038,..
Cyprus,CYP,28288.46158,26623.80089
Czech Republic,CZE,23490.39846,22762.19714
Denmark,DNK,60213.09215,60908.83513
Djibouti,DJI,3414.935393,3425.50345
Dominica,DMA,8001.997095,6526.793215
Dominican Republic,DOM,8282.117131,7268.19691
Ecuador,ECU,6222.524653,5600.389615
"Egypt, Arab Rep.",EGY,3019.092283,3547.870848
El Salvador,SLV,4167.730939,3798.636521
Equatorial Guinea,GNQ,8419.933336,7143.238705
Eritrea,ERI,..,..
Estonia,EST,23717.79945,23312.27633
Ethiopia,ETH,855.7608852,936.3404611
Faroe Islands,FRO,64225.2649,..
Fiji,FJI,6175.874841,4881.526069
Finland,FIN,48711.56421,49041.34226
France,FRA,40380.09877,38625.06738
French Polynesia,PYF,..,..
Gabon,GAB,7767.016979,7005.879097
"Gambia, The",GMB,777.8152452,787.0064509
Georgia,GEO,4697.983652,4278.860771
Germany,DEU,46467.5162,45723.6441
Ghana,GHA,2210.355923,2328.534642
Gibraltar,GIB,..,..
Greece,GRC,19150.7862,17676.19248
Greenland,GRL,..,..
Grenada,GRD,10815.91136,9680.175825
Guam,GUM,37723.78134,..
Guatemala,GTM,4638.634943,4603.339617
Guinea,GIN,1058.143368,1194.037865
Guinea-Bissau,GNB,749.453747,727.5201717
Guyana,GUY,6609.510431,6955.939217
Haiti,HTI,1272.490699,1176.75582
Honduras,HND,2574.356751,2405.732848
"Hong Kong SAR, China",HKG,48354.47337,46323.86344
Hungary,HUN,16733.32217,15899.14828
Iceland,ISL,68883.14877,59260.88714
India,IND,2100.751461,1900.70681
Indonesia,IDN,4135.201531,3869.588427
"Iran, Islamic Rep.",IRN,3114.622753,2282.551865
Iraq,IRQ,5658.492267,4157.484495
Ireland,IRL,80778.82961,83812.80297
Isle of Man,IMN,..,..
Israel,ISR,43588.71315,43610.52033
Italy,ITA,33566.7873,31676.2021
Jamaica,JAM,5369.498371,4664.52915
Japan,JPN,40113.06097,..
Jordan,JOR,4405.487109,4282.765823
Kazakhstan,KAZ,9812.595808,9055.745009
